Revenue	MarketCap	Exchange
1166769.0	11796333.0	New York Stock Exchange (NYSE)
82497.0	99626.0	New York Stock Exchange (NYSE)
1242720.0	2839863.0	New York Stock Exchange (NYSE)
4025000.0	13365908.0	NASDAQ National Market
97599.0	284855.0	New York Stock Exchange (NYSE)
1333570.0	691622.0	NASDAQ National Market
498753.0	74341.0	NASDAQ National Market
807266.0	2795841.0	New York Stock Exchange (NYSE)
1949857.0	574594.0	NASDAQ National Market
13764.0	14843.0	NYSE MKT
99734.0	64209.0	NASDAQ National Market
917.0	53055.0	NASDAQ National Market
382090.0	82198.0	NASDAQ National Market
1453502.0	1316144.0	NASDAQ National Market
6226507.0	12909059.0	NASDAQ National Market
35523.0	164578.0	NASDAQ National Market
66131.0	262801.0	NASDAQ National Market
1027.0	0.0	NASDAQ National Market
65711.0	389790.0	New York Stock Exchange (NYSE)
145863.0	68499.0	NASDAQ National Market
9737.0	2563.0	NASDAQ National Market
5480.0	427451.0	NASDAQ National Market
4104900.0	7881138.0	New York Stock Exchange (NYSE)
1403066.0	1891540.0	New York Stock Exchange (NYSE)
25434000.0	125132931.0	New York Stock Exchange (NYSE)
468540.0	913966.0	NASDAQ National Market
27079000.0	10200946.0	New York Stock Exchange (NYSE)
809628.0	248644.0	NASDAQ National Market
900756.0	275421.0	New York Stock Exchange (NYSE)
1006768.0	6523231.0	New York Stock Exchange (NYSE)
8676.0	342037.0	NASDAQ National Market
1635800.0	1268241.0	NASDAQ National Market
18211400.0	8718677.0	New York Stock Exchange (NYSE)
124588.0	30920.0	NASDAQ National Market
8023200.0	7312006.0	New York Stock Exchange (NYSE)
36622.0	20762.0	NASDAQ National Market
26794000.0	153854396.0	New York Stock Exchange (NYSE)
4103728.0	40876217.0	NASDAQ National Market
126999.0	46783.0	NYSE MKT
58523.0	58524.0	NASDAQ National Market
3103000.0	1567247.0	New York Stock Exchange (NYSE)
491293.0	842541.0	NASDAQ National Market
298942.0	1685602.0	NASDAQ National Market
7412000.0	7492001.0	New York Stock Exchange (NYSE)
1054736.0	989760.0	New York Stock Exchange (NYSE)
9492.0	58230.0	NYSE MKT
1405239.0	2098683.0	NASDAQ National Market
0.0	416716.0	NASDAQ National Market
-37572.0	741474.0	NASDAQ National Market
762.0	38493.0	NASDAQ National Market
162317.0	69011.0	NASDAQ National Market
79722.0	112094.0	NASDAQ National Market
2604047.0	33697113.0	NASDAQ National Market
1914300.0	1665454.0	New York Stock Exchange (NYSE)
2042332.0	11125407.0	New York Stock Exchange (NYSE)
2395447.0	9943950.0	New York Stock Exchange (NYSE)
2744965.0	25117307.0	New York Stock Exchange (NYSE)
0.0	17520.0	NASDAQ National Market
14079.0	1631036.0	NASDAQ National Market
282358.0	437722.0	NASDAQ National Market
272773.0	388280.0	New York Stock Exchange (NYSE)
68166.0	583997.0	NASDAQ National Market
430839.0	2223296.0	New York Stock Exchange (NYSE)
859465.0	367554.0	NASDAQ National Market
998037.0	378184.0	New York Stock Exchange (NYSE)
12416000.0	37842611.0	NASDAQ National Market
8680100.0	13108223.0	New York Stock Exchange (NYSE)
649468.0	307331.0	NASDAQ National Market
2184335.0	8270390.0	New York Stock Exchange (NYSE)
0.0	192553.0	NYSE MKT
657100.0	250615.0	NASDAQ National Market
4395200.0	2022669.0	New York Stock Exchange (NYSE)
146899.0	14751.0	NASDAQ National Market
492660.0	1257176.0	NASDAQ National Market
5045900.0	20588346.0	New York Stock Exchange (NYSE)
239012.0	385933.0	NASDAQ National Market
943258.0	9981200.0	NASDAQ National Market
1104442.0	1214267.0	New York Stock Exchange (NYSE)
1000161.0	104222.0	NASDAQ National Market
19437000.0	1487905.0	New York Stock Exchange (NYSE)
141644.0	443853.0	New York Stock Exchange (NYSE)
23953.0	12567.0	NASDAQ National Market
666903.0	241013.0	New York Stock Exchange (NYSE)
3013879.0	5177115.0	New York Stock Exchange (NYSE)
966358.0	2692278.0	New York Stock Exchange (NYSE)
50890.0	263670.0	NASDAQ National Market
153180.0	568698.0	NASDAQ National Market
10466000.0	10611013.0	New York Stock Exchange (NYSE)
1274259.0	177635.0	New York Stock Exchange (NYSE)
13105000.0	33650532.0	New York Stock Exchange (NYSE)
1662829.0	10081809.0	New York Stock Exchange (NYSE)
12554000.0	21388497.0	New York Stock Exchange (NYSE)
543308.0	2668012.0	New York Stock Exchange (NYSE)
18495.0	7517.0	NASDAQ National Market
1263938.0	5362376.0	New York Stock Exchange (NYSE)
3484500.0	19183240.0	New York Stock Exchange (NYSE)
380976.0	387065.0	New York Stock Exchange (NYSE)
31244000.0	66267810.0	New York Stock Exchange (NYSE)
1075013.0	7654514.0	New York Stock Exchange (NYSE)
3000000.0	2193802.0	NASDAQ National Market
767421.0	443419.0	NASDAQ National Market
339651.0	2173918.0	NASDAQ National Market
75000000.0	50285975.0	New York Stock Exchange (NYSE)
112500.0	145056.0	NASDAQ National Market
