Company_name	Company_ID	Big3Share	Position	Exchange	TypeEnt	Assets	MarketCap	Revenue	Country
AFLAC INCORPORATED	US581167100	23.36	1	New York Stock Exchange (NYSE)	Insurance company	8.072970063537582	7.459346311356422		US
AG&E HOLDINGS, INC.	US361944630	0.31	7	NYSE MKT	Industrial company	3.7798849631926443	3.5577477416414682	4.142420754219559	US
AGCO CORP	US581960019	17.810000000000006	1	New York Stock Exchange (NYSE)	Industrial company	6.812759722854187	6.626604867636478	6.873163657690164	US
AGENUS INC.	US061562417	10.93	1	NASDAQ National Market	Industrial company	5.38422613627205	5.546388412195421	4.394766780226321	US
AGILE THERAPEUTICS, INC.	US232936302	2.16	15	NASDAQ National Market	Industrial company	4.705119302618628	5.3605328277203625	0.0	US
AGILENT TECHNOLOGIES INC	US770518772	16.729999999999997	1	New York Stock Exchange (NYSE)	Industrial company	6.873843591291955	7.1766244189974175	6.606166422159485	US
AGILYSYS, INC.	US340907152	8.26	4	NASDAQ National Market	Industrial company	5.258938837900164	5.428682178530041	5.01500328646168	US
AGIOS PHARMACEUTICALS, INC.	US260662915	10.85	5	NASDAQ National Market	Industrial company	5.623317531311982	6.305941995139566	4.77173442538677	US
AGL RESOURCES INC	US582210952	21.78	1	New York Stock Exchange (NYSE)	Industrial company	7.168909808558071	6.898804027394615	6.595606545064646	US
AGREE REALTY CORP	US383148187	24.1	1	New York Stock Exchange (NYSE)	Financial company	5.897556169059082	5.999845798086465	4.844893252912034	US
AGROFRESH SOLUTIONS, INC.	US464007249	2.4	8	NASDAQ National Market	Financial company	6.034498108620492	5.392714535676295	5.214218437597243	US
AIMMUNE THERAPEUTICS, INC.	US452748244	3.03	10	NASDAQ National Market	Industrial company	5.3270768068220375	5.8152907801161	0.0	US
AIR INDUSTRIES GROUP, INC.	US204458244	0.86	5	NYSE MKT	Industrial company	4.94571963521591	4.568729599118429	4.905488258582473	US
AIR LEASE CORPORATION	US271840403	11.45	2	New York Stock Exchange (NYSE)	Financial company	7.091846229704221	6.488514194747053	6.087369991532011	US
AIR METHODS CORP	US840915893	18.55	1	NASDAQ National Market	Industrial company	6.1921982297456015	6.115830099337314	6.035704637623325	US
AIR PRODUCTS & CHEMICALS INC	US231274455	15.46	1	New York Stock Exchange (NYSE)	Industrial company	7.238911344344556	7.490135183054647	6.995411453381345	US
AIR T INC	US521206400	0.46	14	NASDAQ National Market	Industrial company	4.638059742039357	4.757236555739012	5.049923178419273	US
AIR TRANSPORT SERVICES GROUP, INC.	US261631624	5.99	4	NASDAQ National Market	Industrial company	6.0177518360706	5.915121649912616	5.791876534980654	US
AIRGAS INC	US560732648	17.23	1	New York Stock Exchange (NYSE)	Industrial company	6.7878115230975515	7.017360857549973	6.725403406418079	US
AK STEEL HOLDING CORPORATION	US311401455	21.5	1	New York Stock Exchange (NYSE)	Industrial company	6.6111283738502244	5.989671802877632	6.825614401057333	US
AKAMAI TECHNOLOGIES INC	US043432319	17.95	1	NASDAQ National Market	Industrial company	6.621351314967965	6.978503491814117	6.341918804439507	US
AKEBIA THERAPEUTICS, INC.	US208756903	7.08	4	NASDAQ National Market	Industrial company	5.1551568160536805	5.524001247507331	0.0	US
AKERS BIOSCIENCES, INC.	US222983783	0.26	13	NASDAQ National Market	Industrial company	3.917663024327375	4.086644520610805	3.325515663363148	US
AKORN INC	US720717400	13.28	3	NASDAQ National Market	Industrial company	6.324840093507932	6.556535750766021	5.99347017909467	US
ALAMO GROUP INC	US741621248	9.68	3	New York Stock Exchange (NYSE)	Industrial company	5.780680152929094	5.843867866412847	5.944274358253454	US
ALASKA AIR GROUP, INC.	US911292054	17.44	1	New York Stock Exchange (NYSE)	Industrial company	6.815112724666844	6.915702469408783	6.74803297171043	US
ALASKA COMMUNICATIONS SYSTEMS GROUP INC	US522126573	3.62	3	NASDAQ National Market	Industrial company	5.666145300861641	4.9525745148893625	5.367016554149993	US
ALBANY INTERNATIONAL CORP	US140462060	18.42	3	New York Stock Exchange (NYSE)	Industrial company	6.0041334255071455	6.0550475146291785	5.851178210935532	US
ALBANY MOLECULAR RESEARCH INC	US141742717	12.69	1	NASDAQ National Market	Industrial company	5.937301192216848	5.711069567241879	5.604611561360572	US
ALBEMARLE CORP	US541692118	22.75	1	New York Stock Exchange (NYSE)	Industrial company	6.982949966100463	6.953947764765572	6.562451799049897	US
ALCOA INC	US250317820	17.900000000000006	1	New York Stock Exchange (NYSE)	Industrial company	7.562625906035518	7.089772860993361	7.352838309253926	US
ALDER BIOPHARMACEUTICALS, INC.	US900134860	12.09	2	NASDAQ National Market	Industrial company	5.6020903908777235	6.161714999646219	0.0	US
ALDEYRA THERAPEUTICS, INC.	US201968197	1.21	14	NASDAQ National Market	Industrial company	4.450341501571896	4.767660393845373	0.0	US
ALERE INC	US043565120	9.77	1	New York Stock Exchange (NYSE)	Industrial company		6.564897231986912	6.477121399484465	US
ALEXANDER & BALDWIN, INC.	US454849780	18.84	1	New York Stock Exchange (NYSE)	Financial company	6.350926267448048	6.259646908307751	5.756256410005944	US
ALEXANDER'S, INC.	US510100517	10.54	3	New York Stock Exchange (NYSE)	Financial company	6.160711272001083	6.276604477493679	5.317887911382154	US
ALEXION PHARMACEUTICALS INC	US133648318	16.63	1	NASDAQ National Market	Industrial company	7.117201073512258	7.527592707175611	6.41564898525061	US
ALEXZA PHARMACEUTICALS, INC.	US770567768	7.16	6	NASDAQ National Market	Industrial company	4.168261710182875	4.316641200167494	3.7013088852280753	US
ALICO INC	US590906081	5.010000000000002	5	NASDAQ National Market	Industrial company	5.662841850095032	5.388051443214856	5.185031920432769	US
ALIGN TECHNOLOGY INC	US943267295	14.75	1	NASDAQ National Market	Industrial company	6.063946268678599	6.802704711441479	5.927106934380042	US
ALIMERA SCIENCES INC	US200028718	5.51	12	NASDAQ National Market	Industrial company	4.848096704078633	4.844483388783956	4.351003498566344	US
ALJ REGIONAL HOLDINGS INC	US134082185	0.0	101	NASDAQ National Market	Industrial company		5.161538691346337	5.051156382825619	US
ALLEGHANY CORPORATION	US510283071	19.29	1	New York Stock Exchange (NYSE)	Insurance company	7.358816521635515	6.921757985154389	6.709456616592018	US
ALLEGHENY TECHNOLOGIES INC	US251792394	17.58	1	New York Stock Exchange (NYSE)	Industrial company	6.759796301327323	6.124166308808417	6.570496355798035	US
ALLEGIANCE BANCSHARES INC	US273564100	1.19	11	NASDAQ National Market	Bank	6.319067939703933	5.491554981907224	4.928078209497234	US
ALLEGIANT TRAVEL COMPANY	US204745737	15.31	2	NASDAQ National Market	Industrial company	6.1308684257151125	6.3633279975987795	6.1011243909709725	US
ALLETE INC	US410418150	19.93	1	New York Stock Exchange (NYSE)	Industrial company	6.68970842157467	6.451902896766939	6.17213598882821	US
ALLIANCE DATA SYSTEMS CORP	US311429215	20.97	1	New York Stock Exchange (NYSE)	Industrial company	7.349275603743171	7.102968114690366	6.808868805455734	US
ALLIANCE FIBER OPTIC PRODUCTS, INC.	US770554122	9.48	2	NASDAQ National Market	Industrial company	4.906518204321726	5.466219400696017	4.909502541405415	US
ALLIANCE HEALTHCARE SERVICES, INC.	US330239910	9.11	2	NASDAQ National Market	Industrial company	5.780793118818667	4.886902263852864	5.674911637160391	US
ALLIANCE HOLDINGS GP, L.P.	US030573898	0.0	124	NASDAQ National Market	Industrial company	6.374109628592593	5.993060855523845	6.356659044426954	US
ALLIANCE ONE INTERNATIONAL, INC.	US541746567	1.99	12	New York Stock Exchange (NYSE)	Industrial company	6.2213072812870385	5.242710342955383	6.315098994719248	US
ALLIANCE RESOURCE PARTNERS LP	US731564280	0.0	134	NASDAQ National Market	Industrial company	6.373148776126262	6.030994576350477	6.356739656002861	US
ALLIANT ENERGY CORP	US391380265	21.43	1	New York Stock Exchange (NYSE)	Industrial company	7.096743246656047	6.922585184686908	6.5123642928777254	US
ALLIED HEALTHCARE PRODUCTS INC	US251370721	0.0	113	NASDAQ National Market	Industrial company	4.39776625612645	3.6755950563867463	4.549775472052697	US
ALLIED MOTION TECHNOLOGIES, INC.	US840518115	7.869999999999999	2	NASDAQ National Market	Industrial company	5.216690962279649	5.32134983602129	5.36630152458912	US
ALLIQUA BIOMEDICAL, INC.	US582349413	1.89	13	NASDAQ National Market	Industrial company	4.953048973814936	4.555517649192766	4.17730558434186	US
ALLISON TRANSMISSION HOLDINGS, INC.	US260414014	11.41	1	New York Stock Exchange (NYSE)	Industrial company	6.64428109223355	6.672362512108495	6.297935725059603	US
